dist,station,value,date
Tiruppur,Kangeyam,4.2,22-11-2008
Tiruppur,moolanur,3,22-11-2008
Tiruppur,Udumalpet,1.6,22-11-2008
Tiruppur,Palladam,1.5,22-11-2008
Tiruppur,Avinashi,15,23-11-2008
Tiruppur,Udumalpet,13,23-11-2008
Tiruppur,moolanur,9,23-11-2008
Tiruppur,Kangeyam,5.6,23-11-2008
Tiruppur,Dharapuram,3,23-11-2008
Tiruppur,District Collector Office,3,23-11-2008
Tiruppur,Palladam,2,23-11-2008
Tiruppur,Dharapuram,35,24-11-2008
Tiruppur,Kangeyam,26,24-11-2008
Tiruppur,moolanur,20,24-11-2008
Tiruppur,Udumalpet,13,24-11-2008
Tiruppur,Palladam,10,24-11-2008
Tiruppur,District Collector Office,9.4,24-11-2008
Tiruppur,Avinashi,9,24-11-2008
Tiruppur,Dharapuram,9,25-11-2008
Tiruppur,moolanur,6,25-11-2008
Tiruppur,Udumalpet,5.3,25-11-2008
Tiruppur,District Collector Office,2,25-11-2008
Tiruppur,Palladam,1,25-11-2008
Tiruppur,Avinashi,1,25-11-2008
Tiruppur,Dharapuram,3,26-11-2008
Tiruppur,Kangeyam,2.3,26-11-2008
Tiruppur,Udumalpet,1.4,26-11-2008
Tiruppur,moolanur,7,27-11-2008
Tiruppur,Dharapuram,4,27-11-2008
Tiruppur,Udumalpet,1,27-11-2008
Tiruppur,moolanur,22,28-11-2008
Tiruppur,Kangeyam,18.4,28-11-2008
Tiruppur,Avinashi,12,28-11-2008
Tiruppur,District Collector Office,11,28-11-2008
Tiruppur,Dharapuram,9,28-11-2008
Tiruppur,Palladam,6,28-11-2008
Tiruppur,moolanur,54,29-11-2008
Tiruppur,Dharapuram,4,29-11-2008
Tiruppur,Udumalpet,3,29-11-2008
Tiruppur,Avinashi,3,29-11-2008
Tiruppur,District Collector Office,2,29-11-2008
