Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",02-07-2018,355,6,20,20.655,78,9,53,31,2.787903,187.1329,0.7,8.2,610,135,2.92128,0.4625257,53.6773
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",02-07-2018,1204,11,20,60.75,338,13,454,118,0,305,1.04,8.1,2350,300,8.490373,0,69.90468
HP2ETR21,Bore Well,Tiruppur,Dharapuram,Uthiyur,"10°53'10""","77°31'20""",02-07-2018,1170,34,56,85.05,230,14,355,106,18,305,0.48,8.7,2040,490,4.521101,0,49.63562
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periakumarapalayam,"10°46'25""","77°18'55""",02-07-2018,2836,81,256,199.26,338,158,1149,223,0,305,0.74,7.8,4750,1460,3.849557,0,30.68346
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",02-07-2018,489,6,8,23.085,147,4,57,50,12.81143,271.938,1.92,8.7,880,115,5.964057,2.585612,72.69954
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°53'00""",02-07-2018,937,13,48,51.03,191,45,213,148,18,329.4,1.2,8.5,1560,330,4.575299,0,51.75196
63510,Dug Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'25""","77°18'52""",02-07-2018,1909,71,112,320.76,69,10,666,207,0,420.9,0.41,8.2,3480,1600,0.750521,0,8.516578
63523,Dug Well,Tiruppur,Dharapuram,Kilankudal,"10°45'22""","77°43'36""",02-07-2018,1608,62,64,94.77,304,80,440,139,18,390.4,1.47,8.3,2630,550,5.640383,0,50.35185
63536,Dug Well,Tiruppur,Dharapuram,Erasinampalayam,"10°50'36""","77°44'33""",02-07-2018,861,17,32,70.47,175,17,184,79,12,433.1,1.97,8.4,1520,370,3.958458,0.1032964,49.29253
63540,Dug Well,Tiruppur,Dharapuram,Kadaiyur,"10°59'13""","77°31'04""",02-07-2018,2890,73,320,233.28,363,8,1503,46,0,183,0.54,7.8,4950,1760,3.765536,0,30.86324
63804A,Dug Well,Tiruppur,Udumapettai,Gudimangalam,"10°41'43""","77°16'54""",02-07-2018,69,1,8,7.29,7,2,7,4,1.438802,48.40308,0.18,8.5,120,50,0.4307938,0,22.47514
63806,Dug Well,Tiruppur,Gudimangalam,Kongalnagaram,"10°40'42""","77°12'09""",02-07-2018,309,8,12,32.805,53,4,74,10,1.349841,143.6002,0.51,8,550,165,1.795189,0,40.40268
63817A,Dug Well,Tiruppur,Madathukulam,Komaralingam,"10°29'19""","77°21'20""",02-07-2018,166,1,24,23.085,3,3,25,14,1.344247,113.5928,0.34,8.1,310,155,0.1048593,0,3.948871
63818A,Dug Well,Tiruppur,Madathukulam,Neelammbur,"10°32'02""","77°21'35""",02-07-2018,603,10,28,26.73,145,20,142,49,0,292.8,0.46,7.8,1020,180,4.703099,1.202478,60.55497
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'21""","77°21'53""",02-07-2018,937,14,40,58.32,212,8,262,155,0,280.6,0.53,8.1,1610,340,5.002809,0,56.84793
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",02-01-2019,1056,174,28,72.9,209,37,284,101,0,298.9,1.25,8.1,1710,370,4.727422,0,52.14687
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",02-01-2019,1682,211,52,114.21,366,36,766,54,6,152.5,0.96,8.4,2870,600,6.501215,0,55.21296
HP2CTR21(A),Bore Well,Tiruppur,Palladam,Pongalur,"10°58'32""","77°32'37""",02-01-2019,810,77,64,36.45,170,5,241,119,0,195.2,1.16,8.2,1350,310,4.202107,0,53.91296
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",02-01-2019,487,31,8,17.01,129,34,64,51,7.212265,242.6296,2,8.5,820,90,5.916428,2.418469,67.77005
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°52'15""",02-01-2019,302,11,30,18.225,51,8,43,49,2.200731,147.72,1.2,8.2,510,150,1.812248,0,40.93068
63344,Bore Well,Tiruppur,Tiruppur,Muthaiankinaru,"11°12'15""","77°20'95""",02-01-2019,173,22,18,10.935,23,7,21,22,1.173181,78.74757,0.35,8.2,250,90,1.055115,0,33.59913
63347,Dug Well,Tiruppur,Tiruppur,Nallur,"11°06'00""","77°23'30""",02-01-2019,1062,167,20,63.18,253,29,340,37,0,305,1.16,8.2,1790,310,6.251848,0,61.33028
63355,Dug Well,Tiruppur,Tiruppur,Kandiyankoil,"11°00'50""","77°28'10""",02-01-2019,1695,211,60,106.92,377,4,674,216,0,91.5,0.97,7.9,2800,590,6.753334,0,57.95905
63357,Dug Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°14'15""",02-01-2019,1030,180,20,68.04,253,4,319,24,0,323.3,1.3,8.2,1750,330,6.059387,0,62.15993
63360,Bore Well,Tiruppur,Tiruppur,Abisekapuram,"11°16'01""","77°21'53""",02-01-2019,1143,163,20,40.095,301,38,305,154,0,244,1.23,8.2,1780,215,8.931865,0,71.3032
63421,Dug Well,Tiruppur,Palladam,Karanampettai,"11°01'06""","77°11'00""",02-01-2019,541,105,14,49.815,94,8,170,51,0,97.6,1.14,8.1,890,240,2.639887,0,44.97497
