Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,4,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,5,4.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,6,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,7,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,8,3.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,9,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,10,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,11,3.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,12,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,13,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,14,3.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,15,5.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,16,2.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,17,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,18,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,19,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,20,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,21,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,22,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,23,6.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,24,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,25,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,26,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,27,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,28,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,29,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,30,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,31,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,1,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,2,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,3,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,4,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,5,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,6,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,7,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,8,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,9,8.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,10,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,11,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,12,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,13,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,14,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,15,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,16,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,17,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,18,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,19,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,20,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,21,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,22,3.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,23,3.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,24,2.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,25,10.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,26,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,27,14.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,28,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,29,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,8,30,1.00
